Version,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,Total
none,13.00,,30.75,58.50,35.00,106.50,243.75
Sprint 1 (2011-10-01 - 2011-11-14),83.20,68.90,,,,,152.10
Product Back-Log,2.50,0.50,8.00,,21.00,106.50,138.50
Sprint 2 (2011-11-15 to 2011-12-13),,33.00,72.00,,,,105.00
Sprint 3 (2011-12-14 to 2012-01-17),,,21.00,63.00,,,84.00
Sprint 4 (2012-01-18 to 2012-02-01),,,,36.00,2.00,40.00,78.00
Sprint 5 (2012-02-02 to 2012-23-02),,,,,4.50,179.10,183.60
Total,98.70,102.40,131.75,157.50,62.50,432.10,984.95
